Artist,Album,Title,Release Date,Lyric,Position,Sentiment
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,feat. Keith Urban),1,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,"  You said, ""I know"" When I said, ""I need some time, need some space To think about all of this"" And you watched me go And I knew my words were hard to hear And harder to ever take back And I said ""When can I come back?"" And you said",2,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,"That's when When I wake up in the morning That's when When it's sunny or storming Laughing, when I'm crying And that's when I'll be waiting at the front gate That's when When I see your face I'll let you in And baby that's when",3,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,"I said, ""I know"" When you said, ""I did you wrong Made mistakes, and put you through all of this"" Then through the phone Came all your tears And I said, ""Leave those all in our past"" And you said, ""When can I come back?"" And I said",4,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,"That's when When I wake up in the morning That's when When it's sunny or storming Laughing, when I'm crying And that's when I'll be waiting at the front gate That's when When I see your face I'll let you in And baby that's when",5,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,"And you said, ""Honestly When you were gone Did you ever think of me?"" And I said That's when When I woke up in the morning That's when It was sunny or storming Laughing When I was crying And that's when you were waiting at the front gate That's when, when I saw your face You let me in, and baby that's when",6,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,When I'm laughing When I'm crying,7,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,That's when I miss you That's when I want you That's when I love you That's when,8,0
Taylor Swift,N/A,Closest To A Cowboy,N/A,I drive around this town In a Mustang with the top down And six running horses under my hood Well that’s good enough for me Don’t need the real thing That’s just another thing  For me to try to tame Don’t know if I could It might just break me I thought there for a little while Every sunset I’d be a riding off with him,1,0
Taylor Swift,N/A,Closest To A Cowboy,N/A,Snap buttons on a denim shirt Blue jeans and a little dirt That’s the closest you’ll see me Feet hanging out a pickup truck Crazy and a little rough Running free That’s the closest to a cowboy You’ll see me,2,0
Taylor Swift,N/A,Closest To A Cowboy,N/A,Before I met him  I was so sane and grounded Before he taught me how to lie And crawl out the window I learned the dirt roads And I got my heart broken Cause that cowboy taught me how to cry And how to let go I thought there for a little while Every sunset I’d be a riding off with him,3,0
Taylor Swift,N/A,Closest To A Cowboy,N/A,Snap buttons on a denim shirt Blue jeans and a little dirt That’s the closest you’ll see me Feet hanging out a pickup truck Crazy and a little rough Running free That’s the closest to a cowboy You’ll see me,4,0
Taylor Swift,N/A,Closest To A Cowboy,N/A,It was all a little Wonderful and strange But I’ll never look At a sunset the same night,5,0
Taylor Swift,N/A,Closest To A Cowboy,N/A,Snap buttons on a denim shirt Blue jeans and a little dirt That’s the closest you’ll see me Feet hanging out a pickup truck Crazy and a little rough Running free Sitting fishing by the river bank Swimming in the water tank That’s the closest you’ll see me Feet hanging out a pickup truck Crazy and a little rough Running free That’s the closest to a cowboy You’ll see me,6,0
Taylor Swift,1989,Wonderland,2014,Flashing lights and we Took a wrong turn and we Fell down a rabbit hole,1,0
Taylor Swift,1989,Wonderland,2014,You held on tight to me 'Cause nothing's as it seems And spinning out of control,2,0
Taylor Swift,1989,Wonderland,2014,Didn't they tell us don't rush into things? Didn't you flash your green eyes at me? Haven't you heard what becomes of curious minds?,3,0
Taylor Swift,1989,Wonderland,2014,Oh,4,0
Taylor Swift,1989,Wonderland,2014,Didn't it all seem new and exciting? I felt your arms twisting around me I should have slept with one eye open at night,5,0
Taylor Swift,1989,Wonderland,2014,We found wonderland You and I got lost in it And we pretended it could last forever Eh We found wonderland You and I got lost in it And life was never worse but never better Eh eh,6,0
Taylor Swift,1989,Wonderland,2014,Eh eh eh eh eh In wonderland Eh eh eh eh eh In wonderland Eh eh eh eh eh In wonderland Eh eh eh eh eh In wonderland,7,0
Taylor Swift,1989,Wonderland,2014,So we went on our way Too in love to think straight All alone or so it seemed,8,0
Taylor Swift,1989,Wonderland,2014,But there were strangers watching And whispers turned to talking And talking turned to screams,9,0
Taylor Swift,1989,Wonderland,2014,Oh,10,0
Taylor Swift,1989,Wonderland,2014,Didn't they tell us don't rush into things? Didn't you flash your green eyes at me? Didn't you calm my fears with a Cheshire cat smile?,11,0
Taylor Swift,1989,Wonderland,2014,Oh,12,0
Taylor Swift,1989,Wonderland,2014,Didn't it all seem new and exciting? I felt your arms twisting around me It's all fun and games 'til somebody loses their mind,13,0
Taylor Swift,1989,Wonderland,2014,"But darling, we found wonderland You and I got lost in it And we pretended it could last forever Eh We found wonderland You and I got lost in it And life was never worse but never better Eh eh",14,0
Taylor Swift,1989,Wonderland,2014,Eh eh eh eh eh In wonderland Eh eh eh eh eh In wonderland Eh eh eh eh eh In wonderland Eh eh eh eh eh In wonderland,15,0
Taylor Swift,1989,Wonderland,2014,I reached for you but you were gone I knew I had to go back home You searched the world for something else to make you feel like what we had And in the end in wonderland we both went mad,16,0
Taylor Swift,1989,Wonderland,2014,Oh,17,0
Taylor Swift,1989,Wonderland,2014,We found wonderland You and I got lost in it And we pretended it could last forever (last forever) Eh eh We found wonderland You and I got lost in it (got lost in it) And life was never worse but never better (never better) Eh eh,18,0
Taylor Swift,1989,Wonderland,2014,We found wonderland You and I got lost in it (wonderland) And we pretended it could last forever (in wonderland),19,0
Taylor Swift,1989,Wonderland,2014,We found wonderland You and I got lost in it (wonderland) And life was never worse but never better In wonderland,20,0
