Artist,Album,Title,Release Date,Lyric,Position,Sentiment
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,feat. Keith Urban),1,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,"",2,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,"You said, ""I know""",3,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,"When I said, ""I need some time, need some space",4,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,"To think about all of this""",5,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,And you watched me go,6,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,And I knew my words were hard to hear,7,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,And harder to ever take back,8,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,And I said,9,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,"""When can I come back?""",10,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,And you said,11,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,That's when,12,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,When I wake up in the morning,13,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,That's when,14,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,When it's sunny or storming,15,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,"Laughing, when I'm crying",16,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,And that's when,17,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,I'll be waiting at the front gate,18,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,That's when,19,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,When I see your face,20,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,I'll let you in,21,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,And baby that's when,22,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,"I said, ""I know""",23,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,"When you said, ""I did you wrong",24,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,"Made mistakes, and put you through all of this""",25,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,Then through the phone,26,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,Came all your tears,27,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,"And I said, ""Leave those all in our past""",28,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,"And you said, ""When can I come back?""",29,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,And I said,30,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,That's when,31,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,When I wake up in the morning,32,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,That's when,33,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,When it's sunny or storming,34,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,"Laughing, when I'm crying",35,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,And that's when,36,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,I'll be waiting at the front gate,37,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,That's when,38,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,When I see your face,39,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,I'll let you in,40,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,And baby that's when,41,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,"And you said, ""Honestly",42,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,When you were gone,43,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,"Did you ever think of me?""",44,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,And I said,45,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,That's when,46,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,When I woke up in the morning,47,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,That's when,48,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,It was sunny or storming,49,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,Laughing,50,0
Taylor Swift,Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),2021,When I was crying,51,0
